Metabolite	Clone1	Clone2	log2FC	plotContrast	Regulation	AnalysisMode	Method	Posthoc	statistic	ANOVA_p.value	ANOVA_padj	pvalue_posthoc	Deregulation
3.641/60.05345	AC9.3	E30	0.20707	AC9.3 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	14.661271247518716	0.00129245455011466	1	0.5986308734335888	No
3.641/60.05345	AC9.1	AC9.3	1.2522	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	Tukey's test	14.661271247518716	0.00129245455011466	1	0.00502314911908647	No
3.641/60.05345	AC9.2	AC9.3	0.8529	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	Tukey's test	14.661271247518716	0.00129245455011466	1	0.02397263896631833	No
3.641/60.05345	AC9.1	AC9.2	0.39931	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	Tukey's test	14.661271247518716	0.00129245455011466	1	0.3290435969246342	No
4.374/60.07806	AC9.1	E30	0.24282	AC9.1 vs E30	No	HILIC_Positive	ANOVA	NA	3.6809619770341393	0.06237800741269928	1	1	No
4.374/60.07806	AC9.2	E30	0.076419	AC9.2 vs E30	No	HILIC_Positive	ANOVA	NA	3.6809619770341393	0.06237800741269928	1	1	No
4.374/60.07806	AC9.3	E30	0.015315	AC9.3 vs E30	No	HILIC_Positive	ANOVA	NA	3.6809619770341393	0.06237800741269928	1	1	No
4.374/60.07806	AC9.1	AC9.3	0.22751	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	NA	3.6809619770341393	0.06237800741269928	1	1	No
4.374/60.07806	AC9.2	AC9.3	0.061104	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	NA	3.6809619770341393	0.06237800741269928	1	1	No
4.374/60.07806	AC9.1	AC9.2	0.1664	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	NA	3.6809619770341393	0.06237800741269928	1	1	No
2.391/60.07810	AC9.1	E30	-0.2009	AC9.1 vs E30	No	HILIC_Positive	ANOVA	NA	0.4896348117278087	0.699087847164726	1	1	No
2.391/60.07810	AC9.2	E30	-0.20767	AC9.2 vs E30	No	HILIC_Positive	ANOVA	NA	0.4896348117278087	0.699087847164726	1	1	No
2.391/60.07810	AC9.3	E30	-0.041679	AC9.3 vs E30	No	HILIC_Positive	ANOVA	NA	0.4896348117278087	0.699087847164726	1	1	No
2.391/60.07810	AC9.1	AC9.3	-0.15922	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	NA	0.4896348117278087	0.699087847164726	1	1	No
2.391/60.07810	AC9.2	AC9.3	-0.16599	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	NA	0.4896348117278087	0.699087847164726	1	1	No
2.391/60.07810	AC9.1	AC9.2	0.0067755	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	NA	0.4896348117278087	0.699087847164726	1	1	No
1.385/60.07852	AC9.1	E30	-0.33002	AC9.1 vs E30	No	HILIC_Positive	ANOVA	NA	0.4591499563283041	0.7183742000308657	1	1	No
1.385/60.07852	AC9.2	E30	-0.26934	AC9.2 vs E30	No	HILIC_Positive	ANOVA	NA	0.4591499563283041	0.7183742000308657	1	1	No
1.385/60.07852	AC9.3	E30	-0.19342	AC9.3 vs E30	No	HILIC_Positive	ANOVA	NA	0.4591499563283041	0.7183742000308657	1	1	No
1.385/60.07852	AC9.1	AC9.3	-0.1366	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	NA	0.4591499563283041	0.7183742000308657	1	1	No
1.385/60.07852	AC9.2	AC9.3	-0.075917	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	NA	0.4591499563283041	0.7183742000308657	1	1	No
1.385/60.07852	AC9.1	AC9.2	-0.060683	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	NA	0.4591499563283041	0.7183742000308657	1	1	No
2.235/63.02369	AC9.1	E30	-0.023417	AC9.1 vs E30	No	HILIC_Positive	ANOVA	NA	1.23396125866558	0.35931352268497074	1	1	No
2.235/63.02369	AC9.2	E30	0.097549	AC9.2 vs E30	No	HILIC_Positive	ANOVA	NA	1.23396125866558	0.35931352268497074	1	1	No
2.235/63.02369	AC9.3	E30	0.11366	AC9.3 vs E30	No	HILIC_Positive	ANOVA	NA	1.23396125866558	0.35931352268497074	1	1	No
2.235/63.02369	AC9.1	AC9.3	-0.13707	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	NA	1.23396125866558	0.35931352268497074	1	1	No
2.235/63.02369	AC9.2	AC9.3	-0.016109	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	NA	1.23396125866558	0.35931352268497074	1	1	No
2.235/63.02369	AC9.1	AC9.2	-0.12097	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	NA	1.23396125866558	0.35931352268497074	1	1	No
2.136/63.02379	AC9.1	E30	0.012975	AC9.1 vs E30	No	HILIC_Positive	ANOVA	NA	0.7572149631202969	0.5487152073218104	1	1	No
2.136/63.02379	AC9.2	E30	0.085844	AC9.2 vs E30	No	HILIC_Positive	ANOVA	NA	0.7572149631202969	0.5487152073218104	1	1	No
2.136/63.02379	AC9.3	E30	0.060239	AC9.3 vs E30	No	HILIC_Positive	ANOVA	NA	0.7572149631202969	0.5487152073218104	1	1	No
2.136/63.02379	AC9.1	AC9.3	-0.047264	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	NA	0.7572149631202969	0.5487152073218104	1	1	No
2.136/63.02379	AC9.2	AC9.3	0.025605	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	NA	0.7572149631202969	0.5487152073218104	1	1	No
2.136/63.02379	AC9.1	AC9.2	-0.072869	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	NA	0.7572149631202969	0.5487152073218104	1	1	No
2.118/65.01964	AC9.1	E30	-0.22894	AC9.1 vs E30	No	HILIC_Positive	ANOVA	NA	1.7853835993620044	0.22766093479375343	1	1	No
2.118/65.01964	AC9.2	E30	0.2	AC9.2 vs E30	No	HILIC_Positive	ANOVA	NA	1.7853835993620044	0.22766093479375343	1	1	No
2.118/65.01964	AC9.3	E30	0.02782	AC9.3 vs E30	No	HILIC_Positive	ANOVA	NA	1.7853835993620044	0.22766093479375343	1	1	No
2.118/65.01964	AC9.1	AC9.3	-0.25676	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	NA	1.7853835993620044	0.22766093479375343	1	1	No
2.118/65.01964	AC9.2	AC9.3	0.17218	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	NA	1.7853835993620044	0.22766093479375343	1	1	No
2.118/65.01964	AC9.1	AC9.2	-0.42895	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	NA	1.7853835993620044	0.22766093479375343	1	1	No
5.535/66.01626	AC9.1	E30	0.048747	AC9.1 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	6.469787573522513	0.01562851804611645	1	0.6168989013686664	No
5.535/66.01626	AC9.2	E30	-0.051216	AC9.2 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	6.469787573522513	0.01562851804611645	1	0.6168989013686664	No
5.535/66.01626	AC9.3	E30	0.1483	AC9.3 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	6.469787573522513	0.01562851804611645	1	0.0695521735756948	No
5.535/66.01626	AC9.1	AC9.3	-0.099555	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	Tukey's test	6.469787573522513	0.01562851804611645	1	0.2679728349061605	No
5.535/66.01626	AC9.2	AC9.3	-0.19952	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	Tukey's test	6.469787573522513	0.01562851804611645	1	0.01743368574988336	No
5.535/66.01626	AC9.1	AC9.2	0.099964	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	Tukey's test	6.469787573522513	0.01562851804611645	1	0.2679728349061605	No
4.736/67.05180	AC9.1	E30	0.063102	AC9.1 vs E30	No	HILIC_Positive	ANOVA	NA	1.013708226474217	0.4357589795142329	1	1	No
4.736/67.05180	AC9.2	E30	0.37287	AC9.2 vs E30	No	HILIC_Positive	ANOVA	NA	1.013708226474217	0.4357589795142329	1	1	No
4.736/67.05180	AC9.3	E30	0.3093	AC9.3 vs E30	No	HILIC_Positive	ANOVA	NA	1.013708226474217	0.4357589795142329	1	1	No
4.736/67.05180	AC9.1	AC9.3	-0.2462	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	NA	1.013708226474217	0.4357589795142329	1	1	No
4.736/67.05180	AC9.2	AC9.3	0.063569	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	NA	1.013708226474217	0.4357589795142329	1	1	No
4.736/67.05180	AC9.1	AC9.2	-0.30977	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	NA	1.013708226474217	0.4357589795142329	1	1	No
4.834/68.04637	AC9.1	E30	-0.0018675	AC9.1 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	8.533983227392639	0.00711210271061333	1	0.9939581370882956	No
4.834/68.04637	AC9.2	E30	-0.22761	AC9.2 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	8.533983227392639	0.00711210271061333	1	0.03836209562040602	No
4.834/68.04637	AC9.3	E30	0.080056	AC9.3 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	8.533983227392639	0.00711210271061333	1	0.716526541244456	No
4.834/68.04637	AC9.1	AC9.3	-0.081924	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	Tukey's test	8.533983227392639	0.00711210271061333	1	0.716526541244456	No
4.834/68.04637	AC9.2	AC9.3	-0.30766	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	Tukey's test	8.533983227392639	0.00711210271061333	1	0.00813065067119441	No
4.834/68.04637	AC9.1	AC9.2	0.22574	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	Tukey's test	8.533983227392639	0.00711210271061333	1	0.03836209562040602	No
5.514/68.97974	AC9.1	E30	0.01028	AC9.1 vs E30	No	HILIC_Positive	ANOVA	NA	1.5024595526621305	0.28630474557864827	1	1	No
5.514/68.97974	AC9.2	E30	-0.10555	AC9.2 vs E30	No	HILIC_Positive	ANOVA	NA	1.5024595526621305	0.28630474557864827	1	1	No
5.514/68.97974	AC9.3	E30	0.10711	AC9.3 vs E30	No	HILIC_Positive	ANOVA	NA	1.5024595526621305	0.28630474557864827	1	1	No
5.514/68.97974	AC9.1	AC9.3	-0.096833	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	NA	1.5024595526621305	0.28630474557864827	1	1	No
5.514/68.97974	AC9.2	AC9.3	-0.21266	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	NA	1.5024595526621305	0.28630474557864827	1	1	No
5.514/68.97974	AC9.1	AC9.2	0.11583	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	NA	1.5024595526621305	0.28630474557864827	1	1	No
4.834/69.85110	AC9.1	E30	0.1712	AC9.1 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	7.364247327480563	0.01090258381337441	1	0.2692136084213383	No
4.834/69.85110	AC9.2	E30	-0.074206	AC9.2 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	7.364247327480563	0.01090258381337441	1	0.559786299227846	No
4.834/69.85110	AC9.3	E30	0.39505	AC9.3 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	7.364247327480563	0.01090258381337441	1	0.0313575387517244	No
4.834/69.85110	AC9.1	AC9.3	-0.22384	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	Tukey's test	7.364247327480563	0.01090258381337441	1	0.23790105531986072	No
4.834/69.85110	AC9.2	AC9.3	-0.46925	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	Tukey's test	7.364247327480563	0.01090258381337441	1	0.01606836740774915	No
4.834/69.85110	AC9.1	AC9.2	0.24541	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	Tukey's test	7.364247327480563	0.01090258381337441	1	0.2106457450346417	No
4.250/70.02648	AC9.1	E30	0.16259	AC9.1 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	55.53599396639595	1.0643688430236974e-5	0.01807298295454238	0.05656106348532063	No
4.250/70.02648	AC9.2	E30	-0.17834	AC9.2 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	55.53599396639595	1.0643688430236974e-5	0.01807298295454238	0.05656106348532063	No
4.250/70.02648	AC9.3	E30	-0.65376	AC9.3 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	55.53599396639595	1.0643688430236974e-5	0.01807298295454238	5.106341058529379e-5	No
4.250/70.02648	AC9.1	AC9.3	0.81636	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	Tukey's test	55.53599396639595	1.0643688430236974e-5	0.01807298295454238	1.1385099411300455e-5	No
4.250/70.02648	AC9.2	AC9.3	0.47543	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	Tukey's test	55.53599396639595	1.0643688430236974e-5	0.01807298295454238	4.148655091297133e-4	No
4.250/70.02648	AC9.1	AC9.2	0.34093	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	Tukey's test	55.53599396639595	1.0643688430236974e-5	0.01807298295454238	0.00275341015480772	No
4.833/70.06374	AC9.1	E30	0.085605	AC9.1 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	17.260109072584044	7.457731312404815e-4	1	0.16920450031405718	No
4.833/70.06374	AC9.2	E30	-0.16643	AC9.2 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	17.260109072584044	7.457731312404815e-4	1	0.06985043663484222	No
4.833/70.06374	AC9.3	E30	0.24526	AC9.3 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	17.260109072584044	7.457731312404815e-4	1	0.01292544038291537	No
4.833/70.06374	AC9.1	AC9.3	-0.15965	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	Tukey's test	17.260109072584044	7.457731312404815e-4	1	0.06985043663484222	No
4.833/70.06374	AC9.2	AC9.3	-0.41169	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	Tukey's test	17.260109072584044	7.457731312404815e-4	1	6.525293865265814e-4	No
4.833/70.06374	AC9.1	AC9.2	0.25203	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	Tukey's test	17.260109072584044	7.457731312404815e-4	1	0.01292544038291537	No
0.760/72.04171	AC9.1	E30	-0.021632	AC9.1 vs E30	No	HILIC_Positive	ANOVA	NA	0.967811873426864	0.4539294530174123	1	1	No
0.760/72.04171	AC9.2	E30	5.8636	AC9.2 vs E30	Up-regulated	HILIC_Positive	ANOVA	NA	0.967811873426864	0.4539294530174123	1	1	No
0.760/72.04171	AC9.3	E30	2.0905	AC9.3 vs E30	Up-regulated	HILIC_Positive	ANOVA	NA	0.967811873426864	0.4539294530174123	1	1	No
0.760/72.04171	AC9.1	AC9.3	-2.1122	AC9.1 vs AC9.3	Down-regulated	HILIC_Positive	ANOVA	NA	0.967811873426864	0.4539294530174123	1	1	No
0.760/72.04171	AC9.2	AC9.3	3.773	AC9.2 vs AC9.3	Up-regulated	HILIC_Positive	ANOVA	NA	0.967811873426864	0.4539294530174123	1	1	No
0.760/72.04171	AC9.1	AC9.2	-5.8852	AC9.1 vs AC9.2	Down-regulated	HILIC_Positive	ANOVA	NA	0.967811873426864	0.4539294530174123	1	1	No
2.257/73.02557	AC9.1	E30	0.070122	AC9.1 vs E30	No	HILIC_Positive	ANOVA	NA	1.772071623768717	0.23007544743735175	1	1	No
2.257/73.02557	AC9.2	E30	0.005683	AC9.2 vs E30	No	HILIC_Positive	ANOVA	NA	1.772071623768717	0.23007544743735175	1	1	No
2.257/73.02557	AC9.3	E30	0.23009	AC9.3 vs E30	No	HILIC_Positive	ANOVA	NA	1.772071623768717	0.23007544743735175	1	1	No
2.257/73.02557	AC9.1	AC9.3	-0.15997	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	NA	1.772071623768717	0.23007544743735175	1	1	No
2.257/73.02557	AC9.2	AC9.3	-0.2244	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	NA	1.772071623768717	0.23007544743735175	1	1	No
2.257/73.02557	AC9.1	AC9.2	0.064439	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	NA	1.772071623768717	0.23007544743735175	1	1	No
2.141/73.02665	AC9.1	E30	-0.060195	AC9.1 vs E30	No	HILIC_Positive	ANOVA	NA	0.23240199822453023	0.8713375087316232	1	1	No
2.141/73.02665	AC9.2	E30	-0.039858	AC9.2 vs E30	No	HILIC_Positive	ANOVA	NA	0.23240199822453023	0.8713375087316232	1	1	No
2.141/73.02665	AC9.3	E30	0.016457	AC9.3 vs E30	No	HILIC_Positive	ANOVA	NA	0.23240199822453023	0.8713375087316232	1	1	No
2.141/73.02665	AC9.1	AC9.3	-0.076652	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	NA	0.23240199822453023	0.8713375087316232	1	1	No
2.141/73.02665	AC9.2	AC9.3	-0.056314	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	NA	0.23240199822453023	0.8713375087316232	1	1	No
2.141/73.02665	AC9.1	AC9.2	-0.020338	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	NA	0.23240199822453023	0.8713375087316232	1	1	No
4.259/74.02140	AC9.1	E30	0.30891	AC9.1 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	23.54275829747361	2.5275059844719815e-4	0.42917051616334245	0.04783094252142339	No
4.259/74.02140	AC9.2	E30	-0.13675	AC9.2 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	23.54275829747361	2.5275059844719815e-4	0.42917051616334245	0.25258466014167674	No
4.259/74.02140	AC9.3	E30	-0.59901	AC9.3 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	23.54275829747361	2.5275059844719815e-4	0.42917051616334245	0.00297608907072421	No
4.259/74.02140	AC9.1	AC9.3	0.90793	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	Tukey's test	23.54275829747361	2.5275059844719815e-4	0.42917051616334245	2.099673065440944e-4	No
4.259/74.02140	AC9.2	AC9.3	0.46226	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	Tukey's test	23.54275829747361	2.5275059844719815e-4	0.42917051616334245	0.01141289098239735	No
4.259/74.02140	AC9.1	AC9.2	0.44567	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	Tukey's test	23.54275829747361	2.5275059844719815e-4	0.42917051616334245	0.0116328145613943	No
4.723/75.07301	AC9.1	E30	-0.23449	AC9.1 vs E30	No	HILIC_Positive	ANOVA	NA	2.242964644844188	0.1605944394151844	1	1	No
4.723/75.07301	AC9.2	E30	-0.32965	AC9.2 vs E30	No	HILIC_Positive	ANOVA	NA	2.242964644844188	0.1605944394151844	1	1	No
4.723/75.07301	AC9.3	E30	-0.11293	AC9.3 vs E30	No	HILIC_Positive	ANOVA	NA	2.242964644844188	0.1605944394151844	1	1	No
4.723/75.07301	AC9.1	AC9.3	-0.12156	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	NA	2.242964644844188	0.1605944394151844	1	1	No
4.723/75.07301	AC9.2	AC9.3	-0.21672	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	NA	2.242964644844188	0.1605944394151844	1	1	No
4.723/75.07301	AC9.1	AC9.2	0.095158	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	NA	2.242964644844188	0.1605944394151844	1	1	No
4.913/81.04237	AC9.1	E30	1.0526	AC9.1 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	11.166988635121944	0.0031245271027241202	1	0.00262399973471365	No
4.913/81.04237	AC9.2	E30	0.62752	AC9.2 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	11.166988635121944	0.0031245271027241202	1	0.04799406876422879	No
4.913/81.04237	AC9.3	E30	0.49304	AC9.3 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	11.166988635121944	0.0031245271027241202	1	0.09336670795859198	No
4.913/81.04237	AC9.1	AC9.3	0.55954	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	Tukey's test	11.166988635121944	0.0031245271027241202	1	0.05665204193250397	No
4.913/81.04237	AC9.2	AC9.3	0.13448	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	Tukey's test	11.166988635121944	0.0031245271027241202	1	0.4618378435207424	No
4.913/81.04237	AC9.1	AC9.2	0.42506	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	Tukey's test	11.166988635121944	0.0031245271027241202	1	0.09336670795859198	No
5.675/82.01152	AC9.1	E30	0.044781	AC9.1 vs E30	No	HILIC_Positive	ANOVA	NA	0.23661319715980997	0.8684377554969992	1	1	No
5.675/82.01152	AC9.2	E30	-0.029696	AC9.2 vs E30	No	HILIC_Positive	ANOVA	NA	0.23661319715980997	0.8684377554969992	1	1	No
5.675/82.01152	AC9.3	E30	0.069193	AC9.3 vs E30	No	HILIC_Positive	ANOVA	NA	0.23661319715980997	0.8684377554969992	1	1	No
5.675/82.01152	AC9.1	AC9.3	-0.024412	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	NA	0.23661319715980997	0.8684377554969992	1	1	No
5.675/82.01152	AC9.2	AC9.3	-0.098889	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	NA	0.23661319715980997	0.8684377554969992	1	1	No
5.675/82.01152	AC9.1	AC9.2	0.074477	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	NA	0.23661319715980997	0.8684377554969992	1	1	No
4.383/82.06227	AC9.1	E30	-0.15886	AC9.1 vs E30	No	HILIC_Positive	ANOVA	NA	1.5913489609392355	0.2661121177325027	1	1	No
4.383/82.06227	AC9.2	E30	-0.38718	AC9.2 vs E30	No	HILIC_Positive	ANOVA	NA	1.5913489609392355	0.2661121177325027	1	1	No
4.383/82.06227	AC9.3	E30	-0.58648	AC9.3 vs E30	No	HILIC_Positive	ANOVA	NA	1.5913489609392355	0.2661121177325027	1	1	No
4.383/82.06227	AC9.1	AC9.3	0.42762	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	NA	1.5913489609392355	0.2661121177325027	1	1	No
4.383/82.06227	AC9.2	AC9.3	0.1993	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	NA	1.5913489609392355	0.2661121177325027	1	1	No
4.383/82.06227	AC9.1	AC9.2	0.22832	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	NA	1.5913489609392355	0.2661121177325027	1	1	No
4.737/84.07846	AC9.1	E30	-0.0081955	AC9.1 vs E30	No	HILIC_Positive	ANOVA	NA	0.29020299209165207	0.8314330401770568	1	1	No
4.737/84.07846	AC9.2	E30	0.042242	AC9.2 vs E30	No	HILIC_Positive	ANOVA	NA	0.29020299209165207	0.8314330401770568	1	1	No
4.737/84.07846	AC9.3	E30	-0.037293	AC9.3 vs E30	No	HILIC_Positive	ANOVA	NA	0.29020299209165207	0.8314330401770568	1	1	No
4.737/84.07846	AC9.1	AC9.3	0.029098	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	NA	0.29020299209165207	0.8314330401770568	1	1	No
4.737/84.07846	AC9.2	AC9.3	0.079536	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	NA	0.29020299209165207	0.8314330401770568	1	1	No
